epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6951.53,1.07252,0.76948,1.10442,0.97426,0.8982,0.94735,0.73119,0.72461,0.42089,0.90078,0.0006535,0.0006535,0.0006535
72,7600.1,1.07238,0.764,1.10292,0.96714,0.90192,0.94507,0.73161,0.72708,0.42764,0.90354,0.00064855,0.00064855,0.00064855
73,8558.91,1.06221,0.75726,1.09651,0.95631,0.91067,0.94964,0.73547,0.72837,0.42178,0.90153,0.0006436,0.0006436,0.0006436
74,8661.95,1.07359,0.7552,1.09929,0.95214,0.91274,0.94788,0.73554,0.71543,0.41861,0.89991,0.00063865,0.00063865,0.00063865
75,8776.54,1.06525,0.75515,1.10473,0.96157,0.90312,0.94981,0.73668,0.71088,0.4103,0.89495,0.0006337,0.0006337,0.0006337
76,8866.09,1.06001,0.76903,1.10207,0.95397,0.91306,0.95214,0.74366,0.70077,0.40116,0.8932,0.00062875,0.00062875,0.00062875
77,8965.17,1.05958,0.7539,1.10327,0.95549,0.91454,0.95012,0.74045,0.70832,0.40363,0.8961,0.0006238,0.0006238,0.0006238
78,9075.65,1.05759,0.74819,1.09397,0.94666,0.92466,0.95112,0.74058,0.71052,0.40689,0.89513,0.00061885,0.00061885,0.00061885
79,9174.53,1.06077,0.74055,1.10215,0.95449,0.91864,0.94997,0.74126,0.70145,0.40134,0.88901,0.0006139,0.0006139,0.0006139
80,9253.31,1.0593,0.73768,1.10011,0.95426,0.91737,0.95095,0.74255,0.69592,0.40084,0.88976,0.00060895,0.00060895,0.00060895
81,9327.68,1.0541,0.74701,1.09818,0.95788,0.91429,0.94929,0.74581,0.69322,0.40305,0.88659,0.000604,0.000604,0.000604
82,9401.55,1.04956,0.73152,1.0932,0.95917,0.91843,0.94967,0.74543,0.69581,0.40342,0.8845,0.00059905,0.00059905,0.00059905
83,9475.19,1.0479,0.73906,1.09355,0.95826,0.915,0.95201,0.74869,0.69356,0.40184,0.88305,0.0005941,0.0005941,0.0005941
84,9548.96,1.0527,0.74819,1.09692,0.96055,0.91556,0.95344,0.74957,0.68919,0.40293,0.87918,0.00058915,0.00058915,0.00058915
85,9621.87,1.05238,0.72433,1.0975,0.96079,0.91662,0.95299,0.75038,0.68806,0.39762,0.87785,0.0005842,0.0005842,0.0005842
86,9696.51,1.04447,0.72322,1.09462,0.95772,0.9205,0.95278,0.74803,0.69171,0.39877,0.87973,0.00057925,0.00057925,0.00057925
87,9769.04,1.04263,0.72599,1.0914,0.95448,0.92013,0.94952,0.7484,0.68764,0.39439,0.87841,0.0005743,0.0005743,0.0005743
88,9841.82,1.03843,0.72142,1.08995,0.95689,0.91368,0.95189,0.75173,0.6838,0.39167,0.87872,0.00056935,0.00056935,0.00056935
89,9914.79,1.05304,0.72914,1.09665,0.95823,0.90759,0.95045,0.74909,0.68146,0.3899,0.87895,0.0005644,0.0005644,0.0005644
90,9987.41,1.03657,0.72075,1.08508,0.96762,0.90496,0.9518,0.74975,0.68268,0.38861,0.87981,0.00055945,0.00055945,0.00055945
91,10060.9,1.03924,0.71913,1.09384,0.95529,0.91649,0.95347,0.74991,0.68541,0.38586,0.8815,0.0005545,0.0005545,0.0005545
92,10135.2,1.03408,0.71938,1.08979,0.95169,0.92566,0.95376,0.74707,0.68809,0.38701,0.88135,0.00054955,0.00054955,0.00054955
93,10207.8,1.02976,0.69905,1.08079,0.95808,0.92131,0.95425,0.74866,0.68716,0.3866,0.8815,0.0005446,0.0005446,0.0005446
94,10281.2,1.02586,0.70615,1.08742,0.95859,0.91997,0.95474,0.74847,0.68734,0.38482,0.8819,0.00053965,0.00053965,0.00053965
95,10354.5,1.01942,0.70106,1.08102,0.961,0.92007,0.95676,0.7508,0.6891,0.38427,0.88147,0.0005347,0.0005347,0.0005347
96,10427.6,1.02091,0.71132,1.0798,0.96311,0.91879,0.95749,0.75189,0.6881,0.38594,0.88226,0.00052975,0.00052975,0.00052975
97,10500,1.03221,0.71658,1.08563,0.96417,0.91661,0.95637,0.75216,0.68498,0.38498,0.88075,0.0005248,0.0005248,0.0005248
98,10572.9,1.02249,0.70577,1.0827,0.96702,0.91639,0.9562,0.7547,0.68721,0.38461,0.881,0.00051985,0.00051985,0.00051985
